"id","n_census","season","year","season.nb","year.nb","habitat","habitat.code","age.at.capture","nb_af_pride","nb_nm_coal_hr","survival","reproduction","cubs"
"ID1065",2,"dry",1985,2,1,"grassland",1,10.1666666666667,8,0,1,0,NA
"ID953",2,"dry",1985,2,1,"grassland",1,10.3333333333333,8,0,1,0,NA
"ID1011",2,"dry",1985,2,1,"grassland",1,5.41666666666667,8,0,1,NA,NA
"ID1105",2,"dry",1985,2,1,"grassland",1,10.3333333333333,8,0,1,0,NA
"ID1034",2,"dry",1985,2,1,"grassland",1,11.8333333333333,2,0,1,NA,0
"ID1036",2,"dry",1985,2,1,"grassland",1,5.25,2,0,1,NA,0
"ID1055",2,"dry",1985,2,1,"grassland",1,6.91666666666667,5,0,1,0,NA
"ID1048",2,"dry",1985,2,1,"grassland",1,2.08333333333333,5,0,1,0,NA
"ID1054",2,"dry",1985,2,1,"grassland",1,7,5,0,1,0,NA
"ID1056",2,"dry",1985,2,1,"open woodland",2,7.08333333333333,5,0,1,0,NA
"ID1309",2,"dry",1985,2,1,"grassland",1,14.25,5,0,0,NA,NA
"ID1037",2,"dry",1985,2,1,"open woodland",2,9.91666666666667,2,0,1,NA,2
"ID1038",2,"dry",1985,2,1,"open woodland",2,9.91666666666667,2,0,1,NA,NA
"ID1110",2,"dry",1985,2,1,"grassland",1,8.75,1,0,1,0,NA
"ID16",3,"wet",1986,1,2,"grassland",1,7.33333333333333,1,2,1,0,NA
"ID71",3,"wet",1986,1,2,"grassland",1,9.25,4,2,1,0,NA
"ID72",3,"wet",1986,1,2,"grassland",1,9.25,4,2,1,1,NA
"ID73",3,"wet",1986,1,2,"grassland",1,4.08333333333333,4,2,1,1,0
"ID644",3,"wet",1986,1,2,"grassland",1,15.8333333333333,4,2,0,NA,NA
"ID178",3,"wet",1986,1,2,"open woodland",2,5.25,3,2,1,0,NA
"ID97",3,"wet",1986,1,2,"open woodland",2,4.66666666666667,3,2,1,0,NA
"ID182",3,"wet",1986,1,2,"open woodland",2,4.16666666666667,3,2,1,1,NA
"ID108",3,"wet",1986,1,2,"open woodland",2,2.08333333333333,10,2,0,NA,NA
"ID107",3,"wet",1986,1,2,"open woodland",2,2.25,10,2,1,0,NA
